Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Brunei Darussalam,Western Pacific,344020,78637,84,19,84,178,41,,,
Central African Republic,Africa,15466,320,6,,6,113,2,,,
Norway,Europe,1507568,28087,87,2,87,5732,107,,,
Armenia,Europe,451831,15248,,,,8777,296,,,
India,South-East Asia,45037776,3264,823,,823,533589,39,4,,4
Suriname,Americas,82496,14063,,,,1405,240,,,
New Caledonia,Western Pacific,80064,28044,,,,314,110,,,
United Kingdom of Great Britain and Northern Ireland,Europe,24924986,36716,2731,4,2731,232112,342,,,
Uzbekistan,Europe,175081,523,,,,1016,3,,,
Jordan,Eastern Mediterranean,1746997,17122,,,,14122,138,,,
Tunisia,Eastern Mediterranean,1153361,9759,,,,29423,249,,,
Cuba,Americas,1113662,9832,,,,8530,75,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Cook Islands,Western Pacific,7326,41710,,,,2,11,,,
Singapore,Western Pacific,3006155,51384,,,,2024,35,,,
Tuvalu,Western Pacific,2943,24958,,,,1,8,,,
Democratic People's Republic of Korea,South-East Asia,0,,,,,0,,,,
Turkmenistan,Europe,0,,,,,0,,,,
Saint Kitts and Nevis,Americas,6607,12421,,,,46,86,,,
Cabo Verde,Africa,64474,11596,,,,417,75,,,
Spain,Europe,13980340,29536,,,,121852,257,,,
Cambodia,Western Pacific,139117,832,4,,4,3056,18,,,
Somalia,Eastern Mediterranean,27334,172,,,,1361,9,,,
Algeria,Africa,272027,620,,,,6881,16,,,
Burundi,Africa,54569,459,,,,15,,,,
Chile,Americas,5399992,28248,165,1,165,62698,328,12,,12
Germany,Europe,38437756,46218,,,,174979,210,,,
Bahamas,Americas,38084,9685,,,,844,215,,,
Monaco,Europe,17181,43780,,,,67,171,,,
Equatorial Guinea,Africa,17130,1221,,,,183,13,,,
Luxembourg,Europe,391378,62510,31,5,31,1000,160,,,
Sweden,Europe,2751819,26645,94,1,94,27279,264,6,,6
Maldives,South-East Asia,186694,34538,,,,316,58,,,
Azerbaijan,Europe,835371,8239,22,,22,10353,102,,,
Ukraine,Europe,5531524,12648,86,,86,109920,251,,,
Fesco,Other,4,,,,,0,,,,
Pitcairn,,4,8000,,,,0,,,,
Bulgaria,Europe,1329266,19122,16,,16,38700,557,,,
Puerto Rico,Americas,1252713,43788,,,,5938,208,,,
Yemen,Eastern Mediterranean,11945,40,,,,2159,7,,,
Barbados,Americas,110615,38492,20,7,20,593,206,,,
Ecuador,Americas,1076087,6099,35,,35,36048,204,,,
Nepal,South-East Asia,1003450,3444,,,,12031,41,,,
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Hungary,Europe,2230381,22830,10,,10,49051,502,,,
Falkland Islands (Malvinas),,1923,55211,,,,0,,,,
Costa Rica,Americas,1230653,24158,,,,9368,184,,,
Estonia,Europe,610366,45928,20,2,20,2998,226,,,
Honduras,Americas,472789,4773,1,,1,11114,112,,,
Brazil,Americas,37519960,17652,,,,702116,330,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Slovakia,Europe,1877741,34404,6,,6,21226,389,,,
Türkiye,Europe,17004714,20162,,,,101419,120,,,
Slovenia,Europe,1355887,64694,8,,8,10056,480,,,
Guatemala,Americas,1250355,6979,,,,20215,113,,,
Austria,Europe,6082347,68333,2,,2,22534,253,,,
Guam,Western Pacific,52287,30980,,,,419,248,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Saint Lucia,Americas,30252,16475,,,,410,223,,,
Kazakhstan,Europe,1503687,8008,,,,19072,102,,,
France,Europe,38997490,59960,,,,168091,258,,,
Montenegro,Europe,251280,40009,,,,2654,423,,,
Tonga,Western Pacific,16958,16044,,,,12,11,,,
Zambia,Africa,349635,1902,6,,6,4069,22,,,
Zimbabwe,Africa,266362,1792,,,,5740,39,,,
Burkina Faso,Africa,22122,106,,,,400,2,,,
Namibia,Africa,172404,6785,,,,4108,162,,,
Angola,Africa,107423,327,29,,29,1937,6,,,
French Guiana,,98041,32825,,,,413,138,,,
Senegal,Africa,89077,532,1,,1,1971,12,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Saint Barthélemy,,5507,55711,,,,5,51,,,
Andorra,Europe,48015,62143,,,,159,206,,,
Aruba,Americas,44224,41421,,,,292,273,,,
Anguilla,Americas,3904,26023,,,,12,80,,,
Ghana,Africa,172003,554,13,,13,1462,5,,,
Ethiopia,Africa,501167,436,,,,7574,7,,,
Martinique,,230354,61384,,,,1104,294,,,
Tajikistan,Europe,17786,186,,,,125,1,,,
Rwanda,Africa,133235,1029,,,,1468,11,,,
Malta,Europe,121422,23597,,,,905,176,,,
Isle of Man,,38008,44698,,,,116,136,,,
Lesotho,Africa,36138,1687,,,,709,33,,,
Faroe Islands,,34658,70926,,,,28,57,,,
Nigeria,Africa,267188,130,,,,3155,2,,,
Comoros,Africa,9109,1047,,,,160,18,,,
Malawi,Africa,89168,466,,,,2686,14,,,
Uganda,Africa,172149,376,,,,3632,8,,,
Haiti,Americas,34298,301,,,,860,8,,,
Gibraltar,,20550,60996,,,,113,335,,,
Gambia,Africa,12626,522,,,,372,15,,,
Eritrea,Africa,10189,287,,,,103,3,,,
Liberia,Africa,7930,157,,,,294,6,,,
Guinea,Africa,38572,294,,,,468,4,,,
Benin,Africa,28036,231,,,,163,1,,,
Jamaica,Americas,156822,5296,1,,1,3600,122,,,
Vanuatu,Western Pacific,12019,3913,,,,14,5,,,
Uruguay,Americas,1037893,29878,,,,7625,220,,,
Guyana,Americas,74125,9424,5,1,5,1301,165,,,
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Palau,Western Pacific,6332,34999,,,,10,55,,,
Bhutan,South-East Asia,62697,8125,,,,21,3,,,
Peru,Americas,4524748,13723,,,,220831,670,,,
Georgia,Europe,1862754,46695,,,,17150,430,,,
Samoa,Western Pacific,17057,8597,,,,31,16,,,
Finland,Europe,1499712,27143,,,,11466,208,,,
Panama,Americas,1044336,24204,,,,8704,202,,,
Mauritania,Africa,63854,1373,6,,6,997,21,,,
Seychelles,Africa,51686,52555,,,,172,175,,,
Israel,Europe,4841558,55936,,,,12707,147,,,
Curaçao,Americas,45883,27962,,,,305,186,,,
Denmark,Europe,3435018,58993,,,,9667,166,,,
Botswana,Africa,330650,14060,,,,2801,119,,,
Mauritius,Africa,327305,25736,,,,1070,84,,,
Serbia,Europe,2583470,37297,,,,18057,261,,,
Mozambique,Africa,233794,748,2,,2,2252,7,,,
Iceland,Europe,209938,57654,6,2,6,186,51,,,
Cameroon,Africa,125207,472,28,,28,1974,7,,,
Madagascar,Africa,68525,247,4,,4,1427,5,,,
Nauru,Western Pacific,5393,49778,,,,1,9,,,
Liechtenstein,,21576,55684,1,3,1,89,230,,,
Grenada,Americas,19693,17501,,,,238,212,,,
Montserrat,Americas,1403,28066,,,,8,160,,,
Latvia,Europe,977701,51251,,,,7465,391,,,
Sierra Leone,Africa,7818,98,8,,8,125,2,,,
Eswatini,Africa,75191,6481,,,,1427,123,,,
Belize,Americas,71409,17959,,,,688,173,,,
